timestamp,wind_data,hydro_data,thermal_data,solar_data,forecast_data,total_data,forecast_diff
2025-12-26 00:46:00,264,272,97,0,660,632,0
2025-12-26 01:46:00,318,273,94,0,631,684,0
2025-12-26 02:46:00,387,272,95,0,616,754,0
2025-12-26 03:46:00,209,278,95,0,608,582,0
2025-12-26 04:46:00,214,278,97,0,616,589,0
2025-12-26 05:46:00,260,278,97,0,662,635,0
2025-12-26 06:46:00,145,278,95,0,750,518,0
2025-12-26 07:46:00,134,278,97,0,854,509,0
2025-12-26 08:46:00,131,278,95,0,911,504,0
2025-12-26 09:46:00,154,281,97,41,919,573,0
2025-12-26 10:46:00,167,282,96,36,912,581,0
2025-12-26 11:46:00,175,281,95,31,902,582,0
2025-12-26 12:46:00,177,282,93,21,887,573,0
2025-12-26 13:46:00,350,282,95,34,875,761,0
2025-12-26 14:46:00,298,285,94,36,867,713,0
2025-12-26 15:46:00,266,284,94,18,867,662,0
2025-12-26 16:46:00,401,286,97,0,889,784,0
2025-12-26 17:46:00,422,285,131,0,941,838,0
2025-12-26 18:46:00,369,286,123,0,958,778,0
2025-12-26 19:46:00,357,286,96,0,944,739,0
2025-12-26 20:46:00,370,286,101,0,906,757,0
2025-12-26 21:46:00,400,280,99,0,848,779,0
2025-12-26 22:46:00,374,279,100,0,780,753,0
2025-12-26 23:46:00,292,279,99,0,715,670,0
